Sample,5FU,ABRAXANE,BGJ398,BINIMETINIB,BINIMETINIB-3.5MPK,BKM120,BYL719,CETUXIMAB,CGM097,DACARBAZINE,ENCORAFENIB,ERLOTINIB,GEMCITABINE-50MPK,HDM201,HSP990,INC280,INC424,LDE225,LDK378,LEE011,LGH447,PACLITAXEL,TAMOXIFEN,TRAMETINIB,TRASTUZUMAB,WNT974
X-3211,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,
X-3224,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-3237,,,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-3267,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
X-3268,,0.0,,1.0,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0
X-3298,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,1.0,0.0,,0.0,
X-3450,,,0.0,,,1.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-3468,,,0.0,0.0,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,0.0,
X-3483,,,,,,,,,1.0,1.0,,,,,,,,0.0,0.0,1.0,,,,,,0.0
X-3486,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0
X-3503,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3671,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
X-3676,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3697,,,,,,0.0,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,
X-3746,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3773,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3782,,,,0.0,1.0,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,0.0
X-3792,0.0,,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,
X-3800,,0.0,,1.0,,0.0,,,,,,,0.0,,,,0.0,,,1.0,,,,0.0,,
X-3816,,0.0,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-3843,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,0.0,,,,
X-3846,,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,0.0
X-3851,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3873,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,1.0,0.0,,0.0,
X-3880,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-3898,,0.0,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0
X-3947,,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-3990,,0.0,,0.0,0.0,0.0,,,,,,,1.0,0.0,,,0.0,,,0.0,,,,,,0.0
X-4015,,0.0,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,0.0
X-4018,,0.0,,0.0,1.0,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0
X-4087,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-4145,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-4157,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4215,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-4226,,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0
X-4316,,0.0,,,,0.0,0.0,,,,,,1.0,0.0,,,0.0,,,,,,,,,
X-4339,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,
X-4347,,,0.0,1.0,,,0.0,,0.0,,,,,,,,0.0,,,,,0.0,0.0,,0.0,
X-4377,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0
X-4378,,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-4426,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4455,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0
X-4530,,,,,,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4538,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4567,,,0.0,1.0,,1.0,1.0,,0.0,,,,,,,,,,,0.0,,1.0,0.0,,0.0,
X-4644,,,,,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4649,,0.0,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,0.0
X-4668,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4676,,0.0,,1.0,0.0,,0.0,,,,,,1.0,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-4819,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,
X-4824,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-4832,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4849,,,,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0
X-4888,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,
X-4927,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,0.0
X-4949,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
X-5189,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0
X-5205,,,,,1.0,0.0,,,,,,,1.0,1.0,,,,,,,,,,0.0,,0.0
X-5249,,,1.0,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,
X-5254,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-5355,,,0.0,,,1.0,,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,
X-5405,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,
X-5438,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,
X-5446,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-5494,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-5495,0.0,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,
X-5502,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,0.0,
X-5578,0.0,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,,,,,,
X-5975,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,1.0,,1.0,0.0,,,
X-6047,,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,
